order_id,order_date,expected_delivery_date,delivery_date,customer_id,customer_name,customer_phone,gender,age,membership_tier,preferred_channel,province,registration_date,customer_age_days,product_id,product_name,category,brand,is_fragile,product_rating,supplier_id,supplier_name,supplier_contact,courier_id,courier_name,courier_type,avg_delivery_days,damage_rate,coverage_region,promo_id,promo_name,promo_type,promo_discount_rate,promo_start_date,promo_end_date,channel_type,payment_method,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,delivery_days,delay_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,return_id,return_date,return_reason,return_scenario,item_condition,return_status,refund_amount,score_id,risk_score,risk_tier,scored_at,shap_values,is_returned
LGS4ORD0055001,2026-02-01 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,C010102,Kanda Srisuk,0887079251,Female,39,Bronze,Lazada,Chonburi,2024-07-11,570,PRD010322,CookEasy Kitchen Item 10322,Kitchen,CookEasy,True,3.74,SUP035,CookEasy Supplier,02-416-9538,COUR02,SafeLogistics,Standard,3.0,0.1016,Nationwide,PROMO_005,Campaign 5%,Campaign,0.05,2025-01-01,2026-12-31,Web,COD,1,4228.61,0.03,0.05,0.08,338.29,3890.32,3,3,0,0,0,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055001,0.4523,Low,2026-02-01 00:00:00,"{'product': -0.46, 'history': 0.0, 'discount': 0.08}",0
LGS4ORD0055002,2026-02-01 00:00:00,2026-02-05 00:00:00,2026-02-06 00:00:00,C010195,Arthit Sawasdee,0872308095,Male,56,Platinum,TV,Chonburi,2021-11-22,1532,PRD011148,FitStyle Fashion Item 11148,Fashion,FitStyle,False,3.55,SUP042,FitStyle Supplier,02-997-3129,COUR04,RegionalPost,Regional,4.2,0.1186,Regional,PROMO_015,Campaign 15%,Campaign,0.15,2025-01-01,2026-12-31,Web,Bank_Transfer,1,466.73,0.1,0.15,0.25,116.68,350.05,4,5,1,0,0,-1,0,0.0,LGS4RET0000001,2026-02-17 00:00:00,Not as Expected,Standard Return,Good Condition,Completed,314.56,LGS4SCR0055002,0.5972,Medium,2026-02-01 00:00:00,"{'product': -0.65, 'history': 0.0, 'discount': 0.25}",1
LGS4ORD0055003,2026-02-01 00:00:00,2026-02-06 00:00:00,2026-02-07 00:00:00,C014757,Suda Srisuk,0810093740,Male,41,Gold,Lazada,Phuket,2021-03-13,1786,PRD010720,SilkTouch Fashion Item 10720,Fashion,SilkTouch,True,3.8,SUP027,SilkTouch Supplier,02-393-2445,COUR03,EcoDelivery,Eco,5.0,0.0967,Bangkok Only,PROMO_NONE,No Promotion,No Promotion,0.0,2025-01-01,2026-12-31,Lazada,Credit_Card,1,2569.07,0.08,0.0,0.08,205.53,2363.55,5,6,1,0,0,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055003,0.5183,Medium,2026-02-01 00:00:00,"{'product': -0.4, 'history': 0.0, 'discount': 0.08}",0
LGS4ORD0055004,2026-02-01 01:00:00,2026-02-06 01:00:00,2026-02-09 01:00:00,C015728,Suda Sawasdee,0883214794,Female,33,Bronze,CallCenter,Remote_Area,2024-07-07,574,PRD010826,CleanMate Home_Appliance Item 10826,Home_Appliance,CleanMate,True,4.34,SUP010,CleanMate Supplier,02-103-8336,COUR03,EcoDelivery,Eco,5.0,0.0495,Bangkok Only,PROMO_020,Clearance 20%,Clearance,0.2,2025-01-01,2026-12-31,Shopee,COD,3,5168.43,0.03,0.2,0.23,3566.21,11939.06,5,8,3,0,1,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055004,0.5343,Medium,2026-02-01 01:00:00,"{'product': 0.14, 'history': 0.0, 'discount': 0.23}",0
LGS4ORD0055005,2026-02-01 01:00:00,2026-02-04 01:00:00,2026-02-05 01:00:00,C017238,Wichai Chaiyo,0857055884,Female,35,Bronze,TV,Phuket,2024-12-09,419,PRD010682,UrbanWear Fashion Item 10682,Fashion,UrbanWear,False,3.82,SUP022,UrbanWear Supplier,02-509-1164,COUR02,SafeLogistics,Standard,3.0,0.0879,Nationwide,PROMO_025,Clearance 25%,Clearance,0.25,2025-01-01,2026-12-31,Lazada,Credit_Card,1,1566.06,0.03,0.25,0.28,438.5,1127.56,3,4,1,0,1,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055005,0.5287,Medium,2026-02-01 01:00:00,"{'product': -0.38, 'history': 0.0, 'discount': 0.28}",0
LGS4ORD0055006,2026-02-01 01:00:00,2026-02-04 01:00:00,2026-02-04 01:00:00,C017654,Somchai Jantana,0890004045,Female,44,Bronze,TV,Bangkok,2023-12-11,783,PRD010411,ShieldCase Electronics Item 10411,Electronics,ShieldCase,True,3.7,SUP025,ShieldCase Supplier,02-613-6864,COUR02,SafeLogistics,Standard,3.0,0.0976,Nationwide,PROMO_015,Campaign 15%,Campaign,0.15,2025-01-01,2026-12-31,Web,COD,3,6511.62,0.03,0.15,0.18,3516.27,16018.58,3,3,0,0,1,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055006,0.6592,High,2026-02-01 01:00:00,"{'product': -0.5, 'history': 0.0, 'discount': 0.18}",0
LGS4ORD0055007,2026-02-01 01:00:00,2026-02-04 01:00:00,2026-02-04 01:00:00,C016936,Wichai Srisuk,0827405147,Male,35,Bronze,CallCenter,Chonburi,2023-05-20,988,PRD011001,SunSafe Cosmetics Item 11001,Cosmetics,SunSafe,False,4.17,SUP042,SunSafe Supplier,02-974-3696,COUR02,SafeLogistics,Standard,3.0,0.0716,Nationwide,PROMO_NONE,No Promotion,No Promotion,0.0,2025-01-01,2026-12-31,Web,COD,2,1037.5,0.03,0.0,0.03,62.25,2012.75,3,3,0,0,1,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055007,0.4122,Low,2026-02-01 01:00:00,"{'product': -0.03, 'history': 0.0, 'discount': 0.03}",0
LGS4ORD0055008,2026-02-01 02:00:00,2026-02-04 02:00:00,2026-02-04 02:00:00,C017512,Kanda Boonmee,0859482294,Male,37,Gold,TV,Khon Kaen,2024-07-04,577,PRD011078,GadgetWorld Electronics Item 11078,Electronics,GadgetWorld,True,3.89,SUP002,GadgetWorld Supplier,02-280-9003,COUR02,SafeLogistics,Standard,3.0,0.0974,Nationwide,PROMO_NONE,No Promotion,No Promotion,0.0,2025-01-01,2026-12-31,Lazada,COD,2,1911.67,0.08,0.0,0.08,305.87,3517.47,3,3,0,0,2,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055008,0.5266,Medium,2026-02-01 02:00:00,"{'product': -0.31, 'history': 0.0, 'discount': 0.08}",0
LGS4ORD0055009,2026-02-01 02:00:00,2026-02-02 02:00:00,2026-02-02 02:00:00,C016037,Pim Rattanakul,0853068380,Female,57,Silver,TV,Bangkok,2023-03-12,1057,PRD010437,PureAir Home_Appliance Item 10437,Home_Appliance,PureAir,True,4.11,SUP047,PureAir Supplier,02-315-4074,COUR01,FastShip,Express,1.6,0.0727,Nationwide,PROMO_020,Clearance 20%,Clearance,0.2,2025-01-01,2026-12-31,Web,Bank_Transfer,2,10412.35,0.05,0.2,0.25,5206.18,15618.53,1,1,0,0,2,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055009,0.4135,Low,2026-02-01 02:00:00,"{'product': -0.09, 'history': 0.0, 'discount': 0.25}",0
LGS4ORD0055010,2026-02-01 02:00:00,2026-02-02 02:00:00,2026-02-03 02:00:00,C017092,Kasem Sawasdee,0883531447,Female,48,Gold,CallCenter,Nakhon Ratchasima,2022-03-09,1425,PRD010500,ShieldCase Electronics Item 10500,Electronics,ShieldCase,False,3.68,SUP004,ShieldCase Supplier,02-532-7086,COUR01,FastShip,Express,1.6,0.1007,Nationwide,PROMO_005,Campaign 5%,Campaign,0.05,2025-01-01,2026-12-31,CallCenter,Credit_Card,1,8424.35,0.08,0.05,0.13,1095.16,7329.18,1,2,1,0,2,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS4SCR0055010,0.4157,Low,2026-02-01 02:00:00,"{'product': -0.52, 'history': 0.0, 'discount': 0.13}",0
