source,feature,status,reason,group
clean_dataset.csv,order_id,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ควรให้ model จำ identity โดยตรง,other
clean_dataset.csv,order_date,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,other
clean_dataset.csv,expected_delivery_date,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,logistics
clean_dataset.csv,delivery_date,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,logistics
clean_dataset.csv,customer_id,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ควรให้ model จำ identity โดยตรง,other
clean_dataset.csv,customer_name,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ควรให้ model จำ identity โดยตรง,other
clean_dataset.csv,customer_phone,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ควรให้ model จำ identity โดยตรง,other
clean_dataset.csv,gender,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,customer_profile
clean_dataset.csv,age,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,customer_profile
clean_dataset.csv,membership_tier,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,customer_profile
clean_dataset.csv,preferred_channel,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,payment_channel
clean_dataset.csv,province,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,customer_profile
clean_dataset.csv,registration_date,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,other
clean_dataset.csv,customer_age_days,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,customer_profile
clean_dataset.csv,product_id,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ควรให้ model จำ identity โดยตรง,product_category
clean_dataset.csv,product_name,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,product_category
clean_dataset.csv,category,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,product_category
clean_dataset.csv,brand,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,product_category
clean_dataset.csv,is_fragile,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,product_category
clean_dataset.csv,product_rating,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,product_category
clean_dataset.csv,supplier_id,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ควรให้ model จำ identity โดยตรง,other
clean_dataset.csv,supplier_name,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,other
clean_dataset.csv,supplier_contact,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,other
clean_dataset.csv,courier_id,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ควรให้ model จำ identity โดยตรง,logistics
clean_dataset.csv,courier_name,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,logistics
clean_dataset.csv,courier_type,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,logistics
clean_dataset.csv,avg_delivery_days,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,logistics
clean_dataset.csv,damage_rate,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,logistics
clean_dataset.csv,coverage_region,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,customer_profile
clean_dataset.csv,promo_id,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ควรให้ model จำ identity โดยตรง,promotion_discount
clean_dataset.csv,promo_name,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,promotion_discount
clean_dataset.csv,promo_type,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,promotion_discount
clean_dataset.csv,promo_discount_rate,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,promotion_discount
clean_dataset.csv,promo_start_date,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,promotion_discount
clean_dataset.csv,promo_end_date,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered/encoded feature,promotion_discount
